image_link,question,answer
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272109734_0.jpg,What characteristic gives the leaves a glossy appearance?,waxy cuticle
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272109734_0.jpg,What seasonal context is suggested for the second flower?,spring season
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272270924_0.jpg,What traditional Chinese instrument are the elderly men playing?,erhu
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272270924_0.jpg,What attire is the central musician wearing?,"white shirt, brown pants"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272270924_0.jpg,What type of atmosphere does the scene depict?,community engagement through music
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272399419_0.jpg,What animal symbolizes power in Thai culture and is featured in the statue's design?,elephants
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272399419_0.jpg,What color is commonly used for Thai Buddha statues?,golden
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272399419_0.jpg,What architectural style is noted in the temple in the background?,ancient Chinese
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272406812_0.jpg,"What highway does the phrase ""318ROOT"" refer to?",National Route 318
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272406812_0.jpg,"What does the Chinese characters ""此生壁架"" translate to?",slogan about travel
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272406812_0.jpg,What geographic location is mentioned along National Route 318?,"Mangkang, Chamdo, Tibet"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272888749_0.jpg,What unique physical features does the animal possess?,Tri-color coat
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272888749_0.jpg,What type of terrain is described in the setting?,Grassy area with stones
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272888749_0.jpg,What breeds of wild equines are mentioned in the descriptions?,Asian wild donkey or Tibetan wild donkey
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272956357_0.jpg,What historical figure is associated with the sword?,King Goujian of Yue
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272956357_0.jpg,What type of inscriptions are found on the sword?,ancient Chinese characters
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272956357_0.jpg,What material is the sword made of?,bronze
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664273406671_0.jpg,Which traditional Chinese instrument is the girl playing?,guzheng
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664273406671_0.jpg,What color is the girl's traditional clothing?,pale purple
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664273406671_0.jpg,What decorative elements signify happiness in the background?,large red decorations
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664273746482_0.jpg,What traditional dish is the chef slicing?,Peking duck
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664273746482_0.jpg,What color is the roast duck indicating its readiness?,rich brown
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664273746482_0.jpg,What are the three common accompaniments served with Peking duck?,"hoisin sauce, cucumbers, scallions"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664273883825_0.jpg,What is the traditional name for the Chinese shadow puppet show?,piyingxi
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664273883825_0.jpg,What types of characters are depicted in the performance?,historical generals
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664273883825_0.jpg,What emblematic color is used for the horses in the performance?,red
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664274447454_0.jpg,What natural phenomenon emphasizes the mountain's height?,thick clouds below
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664274447454_0.jpg,What feature on the mountain indicates high altitude?,patch of snow atop
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664274830016_0.jpg,What style of hot pot is depicted?,old Beijing style
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664274830016_0.jpg,What type of pot is traditionally used in the hot pot?,copper pot
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664274830016_0.jpg,What dish is emphasized as a traditional component of hot pot dining?,shelled peanuts
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275013697_0.jpg,What type of animal has a pair of horns in the first image?,sheep or goat
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275013697_0.jpg,What desert is prominently featured in the third image?,Gobi Desert
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275013697_0.jpg,What notable feature distinguishes the antelope's ears?,long ears
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275364554_0.jpg,What gesture are the Buddha's hands making?,a teaching gesture
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275364554_0.jpg,What does the open-eyed gaze of the Buddha symbolize?,enlightenment
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275364554_0.jpg,What script is likely inscribed on the temple beams?,Tibetan or Manchu
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275383453_0.jpg,What is the cultural significance of jiaozi in Chinese cuisine?,Festive occasions and family gatherings
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275383453_0.jpg,What traditional method is used for wrapping the dumplings?,Chinese wrapping technique
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275383453_0.jpg,What festival is the cured meat commonly associated with?,Spring Festival
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275603859_0.jpg,What festival features throwing bright powders in the image?,Holi
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275653491_0.jpg,What traditional robe symbolizes imperial power in the statue?,dragon robe
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275653491_0.jpg,Which ancient emperor does the statue resemble?,Qin Shi Huang
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275653491_0.jpg,What feature indicates the emperor's military role?,a sword
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275942444_0.jpg,What type of ancient Chinese artifacts are displayed?,Chinese bronze items
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275942444_0.jpg,What unique feature do some artifacts lack?,green patina
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664275942444_0.jpg,How many artifacts are estimated to be in the collection?,fifty to sixty items
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276152914_0.jpg,What type of cuisine is represented by the hot pot meal?,Chinese cuisine
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276152914_0.jpg,What unique material is the hot pot made of?,copper
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276203394_0.jpg,What is the name of the waterbird depicted in the image?,Zhu Huan
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276203394_0.jpg,What does the Zhu Huan symbolize in its environment?,ecological integrity
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276203394_0.jpg,What is unique about the Zhu Huan's legs?,vibrant red color
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276319803_0.jpg,What type of painting is prominently featured in the room?,large red painting
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276319803_0.jpg,What vintage bicycles are mentioned that reflect a specific cultural term?,bicycles resembling tanks
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276319803_0.jpg,What is the significance of the porcelain basin with a floral pattern?,functioned as a washbasin
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276876312_0.jpg,What contributes to the overall calmness of the scene?,gentle flow of the river
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276876312_0.jpg,What unique feature is present near the lower left corner?,delicate flower bushes
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276998290_0.jpg,What is the name of the temple complex depicted in the image?,Miaoying Temple
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276998290_0.jpg,What feature makes the temple complex stand out architecturally?,white pagoda
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664276998290_0.jpg,What color represents good fortune and joy in the temple's design?,red
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277274397_0.jpg,"What does ""Biliwanren Tian Di Tong"" signify?",The unity of heaven and earth
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277274397_0.jpg,What mountain-related theme is suggested by the inscriptions?,Harmony and aspiration
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277274397_0.jpg,"What type of quality does the inscription ""Magic Sea"" suggest?",Mystical quality
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277319101_0.jpg,What colors prominently characterize the vintage machine?,green and red
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277319101_0.jpg,What type of structure complements the machine's display?,a wooden stand
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277319101_0.jpg,What unique floor design is noted in the exhibit area?,checkerboard pattern
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277484903_0.jpg,What flower symbolizes purity and enlightenment under Guanyin?,lotus flower
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277484903_0.jpg,"What do the characters ""Nanhai Guanyin"" indicate about the statue's significance?",Guanyin of the South Sea
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277484903_0.jpg,What is the suggested height comparison of the statue to a person?,20 times larger
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277576057_0.jpg,What traditional Chinese dining utensil is included with the dish?,a pair of chopsticks
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277576057_0.jpg,What style of bowl holds the dish?,porcelain bowl
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277576057_0.jpg,"What dish is suggested by the components, resembling a wheat product soaked in soup?",lamb paomo
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277614074_0.jpg,What symbolic imagery do the rods evoke?,auspicious clouds
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277614074_0.jpg,What is the design at the top of the poles?,elements resembling swords
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277619378_0.jpg,What expression does the crocodile have when its mouth is agape?,fierce demeanor
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277619378_0.jpg,What type of habitat is indicated by the lush green leaves and vibrant plants?,natural habitat
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277619378_0.jpg,What specific body part of the crocodile shows muscular tension?,front limbs
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277756736_0.jpg,What significant plateau region might this landscape belong to?,Tibetan Plateau
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277756736_0.jpg,What effect do the large fluffy clouds create in the scene?,interplay of light and shadow
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277756736_0.jpg,What colors dominate the overall composition of the image?,"greens, grays, and off-whites"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277770131_0.jpg,What cultural instrument is the male musician playing?,Chinese bamboo flute
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277770131_0.jpg,What color tie is the musician wearing?,light gray
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664277770131_0.jpg,What decorative elements are on the flute?,reddish-brown decorations
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278138109_0.jpg,What specific type of tiger is featured in the photograph?,Siberian tiger
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278138109_0.jpg,What distinctive markings does the tiger have on its ears?,white patches
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278145159_0.jpg,What specific color is found on the top of the crane's head?,red crown
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278145159_0.jpg,What type of environment suggests the crane might be kept in captivity?,a zoo
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278282172_0.jpg,What color is the pedestal of the statue?,red
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278282172_0.jpg,What is the material of the statue?,deep gray material
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278282172_0.jpg,What historical period did Zhang Xueliang influence?,Republic of China period
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278673539_0.jpg,What birds are identified with a striking red forehead?,red-crowned cranes
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278673539_0.jpg,What color is the water in the bird's habitat?,greenish-brown tint
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278673539_0.jpg,Where might the painted storks be located?,a wetland bird sanctuary
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278947879_0.jpg,Which famous mountain in China is suggested to be represented in the image?,Huangshan
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278947879_0.jpg,What notable pine tree is mentioned that's famous for its cultural significance?,Yinkesong
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664278947879_0.jpg,How is the prominent pine tree situated in the image?,on the far left side
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664279066936_0.jpg,What animal does the antique horn cup resemble?,a bull or a sheep
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664279066936_0.jpg,What material is the carved water pipe made from?,translucent agate or jade
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664279066936_0.jpg,What embellishment is found on the mouthpiece of the pipe?,golden metallic inlays
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664279558630_0.jpg,What ancient Chinese artwork does this painting evoke thoughts of?,"""Qingming Shanghe Tu"""
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664279558630_0.jpg,What type of characters depict ancient society in the painting?,Horse riders and palanquin bearers
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664279558630_0.jpg,What elements contribute to the historical ambiance of the painting?,Domed buildings and foliage
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664279746519_0.jpg,What is the name of the comedic performance style being showcased?,xiangsheng
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664279746519_0.jpg,What do the red drapes on the entrances symbolize in Chinese culture?,good fortune and happiness
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664279746519_0.jpg,What theme is the performance featuring when the two performers are mimicking sounds?,elephants
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271072923_0.jpg,What traditional Chinese animal is featured in the image?,giant panda
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271072923_0.jpg,Why are pandas referred to as the national treasure of China?,endearing nature
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271072923_0.jpg,What can be inferred about the bamboo depicted in the image?,it is thin and tender
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271181211_0.jpg,What type of character is the performer with long facial hair and a painted face?,wusheng
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271181211_0.jpg,What does the red flag symbolize in the performance?,valor and martial prowess
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271181211_0.jpg,What item does the performer on the right hold that suggests their role?,a long arrow
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271705429_0.jpg,What local architectural characteristics are featured in the building?,brightly colored eaves and window tops
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271705429_0.jpg,What cultural purpose do the small colorful flags serve?,celebration and festive decoration
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271780257_0.jpg,What does the presence of monkeys symbolize in Chinese culture?,the Year of the Monkey
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271780257_0.jpg,What color symbolizes luck and happiness in Chinese culture?,red
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271780257_0.jpg,What are the lion-like mythical beasts symbolic of?,protection and good fortune
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271796224_0.jpg,What type of towers are integrated into the Great Wall?,beacon towers
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271796224_0.jpg,What natural season is suggested by the state of vegetation?,autumn or winter
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271796224_0.jpg,What type of military equipment was historically found on the wall?,machine guns and cannons
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271929696_0.jpg,What color is the roof of the green pavilion?,red
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271929696_0.jpg,What style of temple is suggested by the yellow walls?,Taoist temple
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271929696_0.jpg,What historical Chinese dynasties are mentioned?,Ming and Qing dynasties
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271950573_0.jpg,What is the name of the bridge with nine bends?,Jiǔqū Qiáo
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271950573_0.jpg,What architectural style is the ancient building?,Chinese-style architecture
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271950573_0.jpg,What cultural significance do the nine bends of the bridge represent?,Journey through life's challenges
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271963373_0.jpg,What character is inscribed on the red lantern?,tea
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271963373_0.jpg,What traditional design style does the lantern reflect?,bamboo drum architecture
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271963373_0.jpg,What type of greenery is mentioned surrounding the lantern?,willow trees
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272163046_0.jpg,What is the traditional name for the candied hawthorn treats?,Tang Hu Lu
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272163046_0.jpg,What type of packaging do the napkins in the image have?,plastic package
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272163046_0.jpg,What flavor does the sugary coating complement on the hawthorn berries?,natural sourness
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272256090_0.jpg,What nut is being roasted and is particularly popular in Asian cuisine?,chestnuts
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272256090_0.jpg,What method of cooking is depicted that emphasizes social gathering?,surrounding the stove
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272283651_0.jpg,What colors are used in the shoe's design?,"white, gray, pink, purple"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272283651_0.jpg,What does the 'YW' signify on the shoe?,design collection or model number
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272283651_0.jpg,What brand logo is prominently displayed on the shoe?,Li Ning
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272329281_0.jpg,What traditional performance is depicted on the stage?,Chinese opera
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272329281_0.jpg,What decorative feature is placed at the top of the tower?,an ornament made from incense paper
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272329281_0.jpg,What color are the tiles on the temple roof?,blue
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272393747_0.jpg,What architectural style is reflected in the two foreground buildings?,quasi-East Asian stylistic elements
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272393747_0.jpg,What contrasting color is used on the walls of the foreground structures?,striking red
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272466659_0.jpg,What traditional Chinese folk art is showcased in the event?,Dun Tieh Hua
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272466659_0.jpg,What type of cultural performance involves molten iron?,iron flower performance
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272466659_0.jpg,What visual effect does the iron flower performance resemble?,fireworks
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674272544738_0.jpg,What is Jack Ma's name in Mandarin?,Ma Yun
