id,language,culturally_distinct,cultural_distinction_explanation,vocaroo_link,image_link,transcription,selected_other_languages,translation,Goodness
12ND9F4wyv7m,English,FALSE,nan,https://voca.ro/12ND9F4wyv7m,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/music_pioneer_list_yearly_award_ceremony-2-91.jpg," All right, back at it again, because I pressed something and I didn't have to redo this. Looking at a dude singing on a stage. The guy appears to be Asian with hair that's combed back. He's wearing what appears to be a blue suit with a white t-shirt. He is singing. His right hand is placed on his stomach, while his left hand is reaching towards his mouth so that he can hold the mic and sing into it. I'm not sure really what the background is. It looks like it's a bigger image, but at least from what I can see, it looks like just a red background. There's a light on stage, but there seems to be a light that's also shining on him, given that we can see a shadow right behind him. Other noticeable details. The floor is kind of shiny. The floor appears to be black wood. The light that's on the stage is black, with the light shining out of it being quite clear. Yeah, pretty basic. I don't know.",FALSE," All right, back at it again, because I pressed something and I didn't have to redo this. Looking at a dude singing on a stage. The guy appears to be Asian with hair that's combed back. He's wearing what appears to be a blue suit with a white t-shirt. He is singing. His right hand is placed on his stomach, while his left hand is reaching towards his mouth so that he can hold the mic and sing into it. I'm not sure really what the background is. It looks like it's a bigger image, but at least from what I can see, it looks like just a red background. There's a light on stage, but there seems to be a light that's also shining on him, given that we can see a shadow right behind him. Other noticeable details. The floor is kind of shiny. The floor appears to be black wood. The light that's on the stage is black, with the light shining out of it being quite clear. Yeah, pretty basic. I don't know.",
14GR9Cc8cVQC,English,FALSE,nan,https://voca.ro/14GR9Cc8cVQC,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574279849229_0.jpg," All right, here's a photo of a train car. Showing the interior roof of that train car. And I can see some people have loaded up some of their own luggage at the top tray. There's also a video image that would be portrayed to the passengers of this train. Where that video screen is showing a video image of some sort of cartoon figures. As well as some lettering that I cannot read but looks Asian. Photos cut off but I believe I can see some people's heads. In the background I can see the door to the next car. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. As well as yet another video screen showing the same image as the screen in the foreground.",FALSE," All right, here's a photo of a train car. Showing the interior roof of that train car. And I can see some people have loaded up some of their own luggage at the top tray. There's also a video image that would be portrayed to the passengers of this train. Where that video screen is showing a video image of some sort of cartoon figures. As well as some lettering that I cannot read but looks Asian. Photos cut off but I believe I can see some people's heads. In the background I can see the door to the next car. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. As well as yet another video screen showing the same image as the screen in the foreground.",
1fyabPkmm2Ye,English,FALSE,nan,https://voca.ro/1fyabPkmm2Ye,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/water_sport-1922-53.jpg," All right, new image here. It is a guy who appears to be jet skiing. We're doing like the thing where you're on a board that's pushing you up in the air. Yeah, he's doing that. There's water pushing him into the air. There's a pipe connecting it that I assume is pumping up the water to then push out to enable him to be in the air. He's above an ocean. Man's face has been darkened out. The man or woman has a little bit of a bun ponytail. The person is throwing up peace signs because I bet they're happy. It looks like it's a beautiful, hot, sunny day with minimal cloud coverage in the background. If you look into the back background, below the sky is mountains looking very nice. Just a couple hills. Had to count the hills. It's one, two, three, four, five. Yeah, overall, idyllic day.",FALSE," All right, new image here. It is a guy who appears to be jet skiing. We're doing like the thing where you're on a board that's pushing you up in the air. Yeah, he's doing that. There's water pushing him into the air. There's a pipe connecting it that I assume is pumping up the water to then push out to enable him to be in the air. He's above an ocean. Man's face has been darkened out. The man or woman has a little bit of a bun ponytail. The person is throwing up peace signs because I bet they're happy. It looks like it's a beautiful, hot, sunny day with minimal cloud coverage in the background. If you look into the back background, below the sky is mountains looking very nice. Just a couple hills. Had to count the hills. It's one, two, three, four, five. Yeah, overall, idyllic day.",
12mFT7wOzqct,English,TRUE,"This appears festive, and the right context might have more to say about what the objects represent.",https://voca.ro/12mFT7wOzqct,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/the_spring_festival-1611-08.jpg," All right, this image at first glance seems to be some kind of festive ornament that's hanging on a tree. There are two of them. There are two of these objects. They are both red with gold characters on them as well. They seem to be festive given the adornment. They both hang by red strings attached to a golden little piece at the top of both of these ornaments. And then below there are two additional strings, each with a green or one of them at least has a green bead. And some more festive red string below with gold attachments as well. So there is text on each of these in some characters, but it's unclear to me what that text is. So these ornaments are both hanging from what seems to be a tree on some sort of red background. It's not entirely clear what the background is. But the ornaments that are hanging on the tree are both red. And the ones that are hanging are hanging from if this is a tree and those are the branches and they're hanging from what looks to be some kind of cherry blossom type tree with pink flowers on it. Overall, this is definitely styled to be a sort of festive image.",FALSE," All right, this image at first glance seems to be some kind of festive ornament that's hanging on a tree. There are two of them. There are two of these objects. They are both red with gold characters on them as well. They seem to be festive given the adornment. They both hang by red strings attached to a golden little piece at the top of both of these ornaments. And then below there are two additional strings, each with a green or one of them at least has a green bead. And some more festive red string below with gold attachments as well. So there is text on each of these in some characters, but it's unclear to me what that text is. So these ornaments are both hanging from what seems to be a tree on some sort of red background. It's not entirely clear what the background is. But the ornaments that are hanging on the tree are both red. And the ones that are hanging are hanging from if this is a tree and those are the branches and they're hanging from what looks to be some kind of cherry blossom type tree with pink flowers on it. Overall, this is definitely styled to be a sort of festive image.",
196ehjwFAOPX,English,TRUE,There is a sign written in a specific language,https://voca.ro/196ehjwFAOPX,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674276005103_0.jpg," All right, this image, there seems to be a clear blue sky, but a lot of smog. It looks to be somewhat of like a flea market or some sort of, I don't want to say festival, or because there doesn't seem to be a lot of celebratory, like banners or flyers, but there's a lot of like mobile vehicles lined up. And the closest image that I can see in the forefront of the image is this sort of stand that has a bunch of these sort of bamboo sticks sticking out of them, but also they appear to be like selling some sort of confectionery treat or getting ready to sell that treat. There's a sign with, I think these are Chinese characters, gold Chinese characters on a red backdrop. And there's a sign in front of this stand that I was just talking about. In the background, there are a lot of what looks to be apartment complexes, tall white buildings where you can see sort of windows dotted across or dotted throughout them. Also further in the background, you can see even more white buildings past the smog. There are telephone lines and there is a skyline. There's a scattered amount of people among the foreground and the background. So there's like three people working on the stand. There's one person in a red parka standing to the side, and there's a bunch more people in the background.",FALSE," All right, this image, there seems to be a clear blue sky, but a lot of smog. It looks to be somewhat of like a flea market or some sort of, I don't want to say festival, or because there doesn't seem to be a lot of celebratory, like banners or flyers, but there's a lot of like mobile vehicles lined up. And the closest image that I can see in the forefront of the image is this sort of stand that has a bunch of these sort of bamboo sticks sticking out of them, but also they appear to be like selling some sort of confectionery treat or getting ready to sell that treat. There's a sign with, I think these are Chinese characters, gold Chinese characters on a red backdrop. And there's a sign in front of this stand that I was just talking about. In the background, there are a lot of what looks to be apartment complexes, tall white buildings where you can see sort of windows dotted across or dotted throughout them. Also further in the background, you can see even more white buildings past the smog. There are telephone lines and there is a skyline. There's a scattered amount of people among the foreground and the background. So there's like three people working on the stand. There's one person in a red parka standing to the side, and there's a bunch more people in the background.",
13yBgK9fxAS9,English,TRUE,distinctive prayer styles and architecture,https://voca.ro/13yBgK9fxAS9,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Urdu_images/5920943064274989624_0.jpg," All right, we got a photo of a Muslim spring. A bunch of laid out prayer rugs on there. They're wearing, excuse me, from Malaysia or Indonesia. They're wearing the songkok. And in the background, there's a large, large, they're clearly inside some major architectural figure. Like sandstone red and white architecture off in the background. You'll see almost like a large chandelier type apparatus at the very top of the photo. This clearly seems to be a bunch of men. I don't think I see any, I don't believe these are any women. Some of them are praying, some of them are not praying, maybe getting ready to pray.",FALSE," All right, we got a photo of a Muslim spring. A bunch of laid out prayer rugs on there. They're wearing, excuse me, from Malaysia or Indonesia. They're wearing the songkok. And in the background, there's a large, large, they're clearly inside some major architectural figure. Like sandstone red and white architecture off in the background. You'll see almost like a large chandelier type apparatus at the very top of the photo. This clearly seems to be a bunch of men. I don't think I see any, I don't believe these are any women. Some of them are praying, some of them are not praying, maybe getting ready to pray.",
105ANtQphaqK,English,FALSE,nan,https://voca.ro/105ANtQphaqK,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/music_pioneer_list_yearly_award_ceremony-2-55.jpg," All right, we're back at it again with another reward show. That's a guy holding a trophy. He is bedazzled. He is dressed up, and I respect that. He is wearing a suit combo, wearing black plain pants, like just a single color. His suit jacket is black and white of some sort of pattern. And then he is wearing a white and black dress shirt, just the color is black. It's very cool. He has a diamond stud in his ear, which, I mean, that's just looking good. He is wearing a ring on his right hand. I don't know what finger, but it's one of the middle ones, the one next to the pinky. There we go. He looks very pleased with himself. His hair is parted to the left, and he seems to have been faded on the side. So his hair is just long. The top is faded on the sides. You know what? I think he's having a good day. He is having a good day.",FALSE," All right, we're back at it again with another reward show. That's a guy holding a trophy. He is bedazzled. He is dressed up, and I respect that. He is wearing a suit combo, wearing black plain pants, like just a single color. His suit jacket is black and white of some sort of pattern. And then he is wearing a white and black dress shirt, just the color is black. It's very cool. He has a diamond stud in his ear, which, I mean, that's just looking good. He is wearing a ring on his right hand. I don't know what finger, but it's one of the middle ones, the one next to the pinky. There we go. He looks very pleased with himself. His hair is parted to the left, and he seems to have been faded on the side. So his hair is just long. The top is faded on the sides. You know what? I think he's having a good day. He is having a good day.",
1lpiOMMV48HK,English,FALSE,nan,https://voca.ro/1lpiOMMV48HK,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/the_fifth_pepsi_musical_award_ceremony-2387-61.jpg," All right, we're looking at another band, I think. Yeah, it's made up of five people, but one of them is hidden, so we can't really tell. So I'm just going to focus on the front. There are two women and two men. Both of the men, sorry, three men and one woman. Two of the men have microphones with one man speaking into it. A man who's speaking into it has a white dress shirt, a white suit jacket. And a gray, kind of like white, blue shirt underneath. He has long hair and wearing red sunglasses to his left. And to the viewers right is a woman who's not looking too happy. She's wearing a black dress, some sort of silver, big necklace. And a white, kind of like, white pullover, white, I don't know, sort of swords. And the man next to her, on her left, or the viewers right, is a guy who's also not looking too happy in a black suit, black pants, white, white, black, white. You know.",FALSE," All right, we're looking at another band, I think. Yeah, it's made up of five people, but one of them is hidden, so we can't really tell. So I'm just going to focus on the front. There are two women and two men. Both of the men, sorry, three men and one woman. Two of the men have microphones with one man speaking into it. A man who's speaking into it has a white dress shirt, a white suit jacket. And a gray, kind of like white, blue shirt underneath. He has long hair and wearing red sunglasses to his left. And to the viewers right is a woman who's not looking too happy. She's wearing a black dress, some sort of silver, big necklace. And a white, kind of like, white pullover, white, I don't know, sort of swords. And the man next to her, on her left, or the viewers right, is a guy who's also not looking too happy in a black suit, black pants, white, white, black, white. You know.",
19eKDgI9EcNf,English,FALSE,nan,https://voca.ro/19eKDgI9EcNf,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/chinese_new_year's_day_special_programs-473-35.jpg," All right, we're looking at some sort of poster or advertisement. There's three monkeys on it. One of them is drawn like a cartoon. The other two are just the outline of the monkeys. The cartoon one is a very traditional monkey. Colors are brown and light brown. The two other monkeys are outlines. And the primary drawing image or part of the poster is the title of it, Sexy Look. To the left, there's a woman wearing a black mask. I'm going to leave it at that. Background is red. You know what? I take it back. There are four monkeys because there's one monkey in red highlighting in the background. There's some Asian lettering that I can't read. The primary Asian letters are in red. And outlined in gold with outline in red. I'm assuming it says Sexy Look as well. But overall, interesting poster.",FALSE," All right, we're looking at some sort of poster or advertisement. There's three monkeys on it. One of them is drawn like a cartoon. The other two are just the outline of the monkeys. The cartoon one is a very traditional monkey. Colors are brown and light brown. The two other monkeys are outlines. And the primary drawing image or part of the poster is the title of it, Sexy Look. To the left, there's a woman wearing a black mask. I'm going to leave it at that. Background is red. You know what? I take it back. There are four monkeys because there's one monkey in red highlighting in the background. There's some Asian lettering that I can't read. The primary Asian letters are in red. And outlined in gold with outline in red. I'm assuming it says Sexy Look as well. But overall, interesting poster.",
11CDvTm5Ih42,English,FALSE,nan,https://voca.ro/11CDvTm5Ih42,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/prize_giving_ceremony_metro-radio_mandarin_power_nation-wide_most_popular_idol-1534-60.jpg," All right, we're right back at it with awards. I'm looking at a woman holding an award in front of some poster background. The award appears to be a white trophy with some sort of color, a cylindrical circle at the top. The woman is wearing high heels that are black in a short mini dress that is black and white. She has Asian long hair. She's standing on the eerie floor. Going back to the shirt, it looks like she's wearing a corset over the sweater she has. It might be just part of the design of the sweater. I'm not sure. Moving to the background, it's a white background with some Asian iconography or lettering on it that is red in shades. In the bottom left-hand corner of the background, for her, it appears to be like a flower, something that's red with a bronze or something like that. So overall, pretty good. Looking back.",FALSE," All right, we're right back at it with awards. I'm looking at a woman holding an award in front of some poster background. The award appears to be a white trophy with some sort of color, a cylindrical circle at the top. The woman is wearing high heels that are black in a short mini dress that is black and white. She has Asian long hair. She's standing on the eerie floor. Going back to the shirt, it looks like she's wearing a corset over the sweater she has. It might be just part of the design of the sweater. I'm not sure. Moving to the background, it's a white background with some Asian iconography or lettering on it that is red in shades. In the bottom left-hand corner of the background, for her, it appears to be like a flower, something that's red with a bronze or something like that. So overall, pretty good. Looking back.",
1h3OBzzo2aIS,English,FALSE,nan,https://voca.ro/1h3OBzzo2aIS,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743584275624278_0.jpg," Alright, I got two types of plants surrounded by a whole bunch of other plants. Those plants are green, although there's two plants in the middle of the photo. It looks like purple cylinders with yellow flowers or spores next to them. Interesting. Background has another type of vegetation. Orange, brownish stalks. Anyway, I don't know what this kind of plant is. I'm not a botanist, but... Seems like a beautiful and distinctive photo you might find in a garden. Maybe in a zoo? Botanical area? I've never seen a botanical garden. I've never seen this kind before.",FALSE," Alright, I got two types of plants surrounded by a whole bunch of other plants. Those plants are green, although there's two plants in the middle of the photo. It looks like purple cylinders with yellow flowers or spores next to them. Interesting. Background has another type of vegetation. Orange, brownish stalks. Anyway, I don't know what this kind of plant is. I'm not a botanist, but... Seems like a beautiful and distinctive photo you might find in a garden. Maybe in a zoo? Botanical area? I've never seen a botanical garden. I've never seen this kind before.",
